judul,konten,label,url,sumber,kategori,text_length,title_length,created_timestamp
PENIPUAN Tautan Pendaftaran CPNS Kemenhub,"Informasi dan pendaftaran CPNS PPPK Kemenhub hanya melalui laman casn.dephub.go.id dan media sosial resmi kementerian.Unggahan berisi tautan “pendaftaran CPNS Kemenhub” yang mengarah ke laman tak resmi itu merupakan konten palsu (fabricated content).Pada Kamis (10/7/2025) akun Facebook “Rudy Ahmad” membagikantautan disertai narasi :“PERSYARATAN: 1.Laki-Laki & Perempuan 2. Lulusan SMA/SMKA/D3/S1-S3 3.Usia Min 18 Tahun Maks 45 Tahun 4.Sehat Jasmani Rohani & Berkelakuan Baik 5.Penempatan Daerah Masing-Masing Domisili Peserta PENDAFTARAN GRATIS TIDAK ADA BIAYA APAPUN SILAHKAN KLIK WEB DI BIO YANG INGIN MENDAFTAR CPNS 2025”Hingga Sabtu (19/7/2025) unggahan mendapatkan 168 tanda suka, 30 komentar dan telah dibagikan ulang 16 kali.Pemeriksaan FaktaTim Pemeriksa Fakta Mafindo (TurnBackHoax) mengakses tautan dalam unggahan. Diketahui, tautan mengarah ke formulir yang meminta pengisian nama lengkap sesuai KTP dan nomor Telegram aktif. Ketika diteruskan, pelamar diminta untuk memasukkan kode verifikasi untuk masuk ke akun Telegram.Berdasarkan Instagram Kementerian Perhubungan “Kemenhub”, informasi dan pendaftaran CPNS PPPK Kemenhub hanya melalui lamancasn.dephub.go.iddan media sosial resmi kementerian.KesimpulanUnggahan berisi tautan “pendaftaran CPNS Kemenhub” yang mengarah ke laman tak resmi itu merupakan konten palsu (fabricated content).(Ditulis oleh Raymondha Elsha)12",FAKE,https://turnbackhoax.id/2025/07/19/penipuan-tautan-pendaftaran-cpns-kemenhub/,TurnBackHoax.id,News,1384,41,2025-07-19 08:13:17
SALAH Video Monster Drone Buatan Iran,"Video yang beredar adalah hasil rekayasa AI, kemungkinan atau probabilitasnya mencapai 89 persen.Unggahan video berisi klaim “monster drone buatan Iran” merupakan konten palsu (fabricated content).Pada Minggu (13/7/2025) akun Facebook “Rosalia Yani” membagikanvideo berisi narasi :“waw moster DRONE buatan iran bikin amerika dan israel ketakutanIRAN DRONETECHNOLOGY”Hingga Sabtu (19/7/2025) unggahan mendapatkan 315 tanda suka, 26 komentar dan telah dibagikan ulang 5 kali.Pemeriksaan FaktaTim Pemeriksa Fakta Mafindo (TurnBackHoax) mengunduh video tersebut dan menganalisisnya dengan alat pendeteksi AI, Hive Moderation. Diketahui, video itu merupakan hasil rekayasa kecerdasan buatan (artificial intelligence/AI), probabilitas atau kemungkinannya mencapai 89 persen.TurnBackHoax kemudian memasukkan kata kunci “monster drone buatan iran” ke mesin pencarian Google. Hasilnya, tidak ditemukan unggahan resmi atau rekaman asli mengenai adanya monster drone buatan iran.KesimpulanUnggahan video berisi klaim “monster drone buatan Iran” merupakan konten palsu (fabricated content).(Ditulis oleh Raymondha Elsha)12",FAKE,https://turnbackhoax.id/2025/07/19/salah-video-monster-drone-buatan-iran/,TurnBackHoax.id,News,1110,37,2025-07-19 08:13:17
PENIPUAN Tautan Pendaftaran Penghapusan Tunggakan BPJS kesehatan,"Tautan yang disertakan dalam klaim bukan berasal dari situs resmi BPJS dan berpotensi mengarah pada penipuan (scamming).Unggahan dengan narasi “Tautan Pendaftaran Penghapusan Tunggakan BPJS kesehatan” merupakan konten tiruan (impostor content).Pada Selasa (29/4/2025) akun TikTok “ info.bpjs.kesehatan_” mengunggah videoTikTokyang menginformasikan tautan untuk pendaftaran penghapusan tunggakan BPJS kesehatan. Video itu disertai narasi :Alhamdulillah iuran BPJS kesehatan yang sudah nunggak bertahun tahun akan di hanguskan silahkan daftar bpjs kesehatan gratis secara online pendaftaran tidak dipungut biaya apapun. DAFTAR SEKARANG MELALUI LINK DI BIO.Pemeriksaan FaktaDari penelusuran Tim Pemeriksa Fakta Mafindo (TurnBackHoax), tautan tidak mengarah ke laman resmi Kementerian Ketenagakerjaan yaitubpjs-kesehatan.go.idyang berpotensi mengarah pada penipuan (scamming).TurnBackHoax kemudian memasukkan kata kunci “penghapusan tunggakan BPJS Kesehatan” ke mesin pencarian Google. Hasilnya penelusuran teratas mengarah ke lamanliputan6.comberjudul “Cek Fakta: Tidak Benar Pendaftaran Penghapusan Tunggakan BPJS Kesehatan dan Iuran Gratis” yang diunggah pada 20 Februari 2025.Dilansir dari liputan6.com, Kepala Humas BPJS Kesehatan Rizky Anugrah mengatakan pendaftaran penghapusan tunggakan BPJS Kesehatan dan iuran gratis adalah hoaks dan menjadi modus penipuan. Menurut Rizky Anugrah, BPJS Kesehatan tidak memiliki program penghapusan tunggakan BPJS Kesehatan dan iuran gratis.KesimpulanUnggahan dengan narasi “Tautan Pendaftaran Penghapusan Tunggakan BPJS kesehatan” merupakan konten tiruan (impostor content).(Ditulis olehDyah Febriyani)12",FAKE,https://turnbackhoax.id/2025/07/19/penipuan-tautan-pendaftaran-penghapusan-tunggakan-bpjs-kesehatan/,TurnBackHoax.id,News,1643,64,2025-07-19 08:13:17
SALAH Jepang Membentuk Pusat Komando Imbas Ulah WNI,"Faktanya, pemerintah Jepang membentuk “menara kendali” untuk mengkoordinasi penanganan kejahatan dan ketertiban yang dilakukan oleh penduduk asing, tidak terbatas pada WNI saja.Unggahan berisi klaim “Jepang membentuk pusat komando imbas ulah WNI” adalah konteks yang salah (false context).Beredarvideoyang diunggah oleh laman Facebook “Podium Otaku” dengan narasi pada video sebagai berikut:“MIRIS! Imbas ulah WNI di Jepang yang jadi perhatian publik, pemerintah Jepang akan bentuk Organisasi Pusat Komando”.Hingga Jumat (18/7/2025) video tersebut telah ditonton lebih dari 324 ribu kali, disukai lebih dari 5 ribu kali, menuai lebih dari 3,6 ribu komentar dan dibagikan ulang lebih dari 2 ribu pengguna Facebook lainnya.Pemeriksaan FaktaTim Pemeriksa Fakta Mafindo (TurnBackHoax) menelusuri unggahan tersebut dengan menggunakan tangkapan layar pada video memakai Google Lens. Hasilnya ditemukan video yang mirip dengan unggahan laman Facebook “Japanese Station” yang menyadur berita dari artikelThe Japan Timesyang dipublikasikan pada hari Selasa (8/7/2025).Laman tersebut memberitakan pemerintah Jepang membentuk sebuah organisasi di bawah Sekretariat Kabinet bernama “menara kendali” untuk mengkoordinasi penanganan tindak kejahatan dan ketertiban yang dilakukan oleh penduduk asing, bertujuan untuk mewujudkan masyarakat tertib dan inklusif bagi penduduk asing di negara tersebut.Tim Pemeriksa Fakta Mafindo juga menggunakan kalimat narasi pada video sebagai kata kunci di mesin pencarian Google, hasilnya ditemukan sebuah artikel dariAntaranewsyang dipublikasikan pada hari Rabu (9/7/2025) memberitakan alasan kemungkinan di balik dibentuknya “menara kendali” atau Pusat Komando.Tampaknya pembentukan Pusat Komando ditujukan untuk mendapat dukungan politik atas tanggapan pemerintah terhadap kontroversi yang berkaitan dengan penduduk asing, seperti tuduhan penyalahgunaan sistem kesejahteraan nasional, menjelang pemilihan majelis tinggi Jepang pada tanggal 20 Juli.KesimpulanUnggahan berisi klaim “Jepang membentuk pusat komando imbas ulah WNI” adalah konteks yang salah (false context).(Ditulis oleh Muhammad Azka Ramadhan)12",FAKE,https://turnbackhoax.id/2025/07/18/salah-jepang-membentuk-pusat-komando-imbas-ulah-wni/,TurnBackHoax.id,News,2133,51,2025-07-19 08:13:17
PENIPUAN Buya Yahya Bagi-Bagi Uang,"Audio dalam konten tersebut adalah hasil rekayasa AI, probabilitas atau kemungkinannya mencapai 97 persen.Unggahan video berisi klaim “Buya Yahya bagi-bagi uang” merupakan konten tiruan (impostor content).Akun Instagram “berbagi_hadiah_official2” pada Sabtu (12/7/2025) mengunggahvideo, isinya berupa audio dengan narasi:“jangan meminta-minta atau menipu carilah rezeki yang halal ya. Saya Buya Yahya akan memberikan bantuan sebesar dua puluh lima juta rupiah jika kamu mau berjanji untuk modal usaha bukan untuk berfoya-foya karena ini amanah dari sayaWA:085649919207carilah rezeki yang halal ini untuk modal usaha jangan buat foya foya”Per Jumat (18/7/2025), konten tersebut sudah mendapat lebih dari 24 ribu tanda suka.Pemeriksaan FaktaTim Pemeriksa Fakta Mafindo (TurnBackHoax) menganalisis konten itu dengan perangkat deteksi AI,ElevenLabs.io. Hasilnya, audio dalam konten merupakan hasil rekayasa kecerdasan buatan (artificial intelligence/AI), probabilitas atau kemungkinannya mencapai 97 persen.TurnBackHoax lalu memeriksa nomor WA yang tertera dalam unggahan akun Instagram “berbagi_hadiah_official2” melalui Getcontact. Hasilnya, tidak ada informasi yang berhubungan dengan Buya Yahya.TurnBackHoax kemudian menelusuri akun Instagram “buyayahya_albahjah” dan kanal YouTube “Buya Yahya” milik Buya Yahya. Tidak ditemukan konten dan informasi kredibel mengenai Buya Yahya bagi-bagi uang melalui WhatsApp.KesimpulanUnggahan video berisi klaim “Buya Yahya bagi-bagi uang” merupakan konten tiruan (impostor content).(Ditulis oleh ‘Ainayya)12",FAKE,https://turnbackhoax.id/2025/07/18/penipuan-buya-yahya-bagi-bagi-uang/,TurnBackHoax.id,News,1545,34,2025-07-19 08:13:17
SALAH Wanita Asal Padang Jadi Presiden Singapura,"Halimah Yacob merupakan Presiden ke-8 Singapura yang lahir di Queen Street, Singapura. Ayahnya seorang muslim keturunan India, sedangkan ibunya keturunan Melayu.Unggahan video berisi klaim “wanita asal Padang menjadi Presiden Singapura” adalah konten palsu (fabricated content).Akun Facebook “Wazarlis Moe” pada Rabu (25/6/2025) membagikanvideo disertai narasi:“Bundo kandung Ranah MinangWanita asal Padang, Indonesia. Menjadi Presiden di Singapura. Dan Presiden pertama wanita di Singapura, Kren banget Ibunya.Gimana menurut kalian gaes”Per Jumat (18/7/2025), konten tersebut telah mendapat lebih dari 2.200 tanda suka dan 142 komentar.Pemeriksaan FaktaTim Pemeriksa Fakta Mafindo (TurnBackHoax) memanfaatkan Google Lens untuk memeriksa tangkapan layar video yang menampilkan sosok wanita tersebut. Hasil penelusuran menunjukkan bahwa wanita tersebut adalah Halimah Yacob.TurnBackHoax lalu memasukkan kata kunci “profil Halimah Yacob” ke mesin pencarian Google. Hasil penelusuran mengarah ke pemberitaankompas.com“Profil Halimah Yacob, Presiden Singapura”.Dari berita yang tayang Oktober 2021 itu diketahui kalau Halimah Yacob merupakan Presiden ke-8 Singapura yang lahir pada 23 Agustus 1954 di Queen Street, Singapura. Ayahnya seorang muslim keturunan India, sedangkan ibunya keturunan Melayu.Tidak ditemukan informasi dari sumber kredibel yang membenarkan klaim tentang “Halimah Yacob berasal dari Padang, Indonesia”.KesimpulanUnggahan video berisi klaim “wanita asal Padang jadi Presiden Singapura” adalah konten palsu (fabricated content).(Ditulis oleh ‘Ainayya)12",FAKE,https://turnbackhoax.id/2025/07/18/salah-wanita-asal-padang-jadi-presiden-singapura/,TurnBackHoax.id,News,1570,48,2025-07-19 08:13:17
SALAH Prabowo Menyatakan SIM Berlaku Seumur Hidup,"Tidak ditemukan informasi kredibel yang membenarkan klaim.Unggahan berisi klaim “Prabowo menyatakan SIM berlaku seumur hidup” adalah konten palsu (fabricated content).Akun Facebook “Baraya Ompong” pada Jumat (4/7/2025) membagikanvideo disertai narasi:“Presiden PRABOWO SUBIANTO resmikan perpanjang SIM 1xseumur hidupPrabowo: tidak ada lagi perpanjangan di setiap 5thn sekali SIM mengemudi berlaku berlaku seumur hidupgimana menurut kalian keren banget kan..??”Unggahan disertai takarir:“Memang seharusnya begitu lanjutkan pak bagaimana pendapat kalian”Per Jumat (18/7/2025), konten tersebut telah mendapat lebih dari 30 ribu tanda suka dan 5 ribu komentar.Pemeriksaan FaktaTim Pemeriksa Fakta Mafindo (TurnBackHoax) sebelumnya sudah mengupas klaim serupa lewat artikel Polri Meresmikan SIM dan STNK Berlaku Seumur Hidup yang tayang di lamanturnbackhoax.idpada Februari 2025.Terbaru, disadur dari artikel Cek Faktakompas.com, tidak ditemukan pernyataan Presiden Prabowo yang meresmikan SIM berlaku seumur hidup.Sebagai informasi, regulasi perpanjangan SIM diatur dalam Peraturan Pemerintah (PP) Nomor 76 Tahun 2020 tentang Jenis dan Tarif atas Jenis Penerimaan Negara Bukan Pajak yang Berlaku pada Polri. Disebutkan, SIM berlaku selama lima tahun dan harus diperpanjang.KesimpulanUnggahan berisi klaim “Prabowo menyatakan SIM berlaku seumur hidup” adalah konten palsu (fabricated content).(Ditulis oleh ‘Ainayya)12",FAKE,https://turnbackhoax.id/2025/07/18/salah-prabowo-menyatakan-sim-berlaku-seumur-hidup/,TurnBackHoax.id,News,1413,49,2025-07-19 08:13:17
SALAH Obama Tolak Amerika Ikut Campur Perang Iran,"Konteks asli video adalah momen pidato Obama dalam Konvensi Nasional Demokrat pada Rabu (21/8/2024). Sepanjang pidato tersebut tidak ditemukan pernyataan Obama tentang penolakan untuk ikut campur atas perang Iran.Unggahan berisi klaim “Obama tolak Amerika ikut campur perang Iran” adalah konten yang menyesatkan (misleading content).Akun Facebook “Yuliani Ani Ame” pada Selasa (24/6/2025) membagikanvideo berisi narasi:“breaking newsmantan presiden Amerika Barack Obama menolak kebijakan trumpBarack Obama menolak Amerika ikut campur per4ng dengan Iran”Unggahan disertai takarir:“Mantan presiden amerika yang berkelas dan berhati baik menjadi contoh untuk rakyat amerika supaya menjadi negara yang adil dan bijaksana dalam menentukan kebenaran konflik terjadi di palestina dan israel akar masalah yg menjajah palestina”Per Jumat (18/7/2025), konten tersebut telah mendapatkan lebih dari 14.100 tanda suka dan 637-an komentar.Pemeriksaan FaktaTim Pemeriksa Fakta Mafindo (TurnBackHoax) menelusuri tangkapan layar video—yang menampilkan mantan Presiden Amerika Barack Obama—itu menggunakan Google Lens.Hasil penelusuran mengarah ke video kanal YouTube PBS NewsHour “WATCH: Former President Barack Obama’s full speech at 2024 Democratic National Convention”.Konteks asli video adalah momen Obama dalam Konvensi Nasional Demokrat di Chicago pada Rabu (21/8/2024). Obama saat itu mengkritik Presiden AS Donald Trump beserta kebijakannya, ia menyebut Trump memandang kekuasaan tidak lebih dari sekadar alat untuk mencapai tujuannya. Namun, sepanjang pidato tersebut tidak ditemukan pernyataan Obama tentang penolakan untuk ikut campur atas perang Iran.KesimpulanUnggahan berisi klaim “Obama tolak Amerika ikut campur perang Iran” adalah konten yang menyesatkan (misleading content).(Ditulis oleh ‘Ainayya)12",FAKE,https://turnbackhoax.id/2025/07/18/salah-obama-tolak-amerika-ikut-campur-perang-iran/,TurnBackHoax.id,News,1801,49,2025-07-19 08:13:17
SALAH Narasi Putin Bakal Bantu Indonesia Jika Diserang Amerika-Israel,"Tidak ada informasi kredibel yang membenarkan klaim.Unggahan video berisi klaim “Putin bakal bantu Indonesia jika diserang Amerika-Israel” merupakan konten palsu (fabricated content).Akun Facebook “Satrio Bimo” pada Selasa (24/6/2025) membagikanvideo berisi narasi:“AKSI PRESIDEN RUSIA BUKAN KALENG-KALENGJIKA MILITER INDONESIA DISERANG AMERIKA DAN ISRAEL VLADIMIR PUTIN TIDAK SEGAN AKAN MENYERANG AMERIKA DAN ISRAEL SECARA BRUTALHAL INI DISAMPAIKAN LANGSUNG SECARA RESMI VLADIMIR PUTIN DI SAAT MILITER INDONESIA BERADA DI GAZANGERI NGERI SEDAP”Per Jumat (18/7/2025), konten tersebut telah mendapat lebih dari 31 ribu tanda suka dan lebih dari 370 komentar.Pemeriksaan FaktaTim Pemeriksa Fakta Mafindo (TurnBackHoax) memasukkan kata kunci “Putin bantu Indonesia jika diserang Amerika dan Israel” ke mesin pencarian Google. Sepanjang penelusuran, tidak ada informasi kredibel yang membenarkan klaim tersebut.TurnBackHoax lalu menelusuri tangkapan layar video—yang menampilkan Presiden Rusia Vladimir Putin—menggunakan Google Lens. Hasil penelusuran mengarah ke unggahan kanal YouTubeBoost Your Russian“Russian Speech with Russian and English subtitles (Vladimir Putin – Victory Day 2021)” pada Mei 2021.Diketahui, konteks asli video adalah momen pidato Putin dalam Victory Day (Hari Kemenangan) Rusia tahun 2021. Dalam pidatonya, Putin menegaskan kemenangan atas nazisme adalah warisan bangsa Rusia sebagai keturunan para pemenang.KesimpulanUnggahan video berisi klaim “pernyataan Putin yang akan bantu Indonesia jika diserang Amerika-Israel” adalah konten palsu (fabricated content).(Ditulis oleh ‘Ainayya)12",FAKE,https://turnbackhoax.id/2025/07/18/salah-narasi-putin-bakal-bantu-indonesia-jika-diserang-amerika-israel/,TurnBackHoax.id,News,1608,69,2025-07-19 08:13:17
SALAH Jokowi Meninggal Dunia,"Kompol Syarif Fitriansyah saat dikonfirmasi menegaskan kabar tersebut tidak benar. Ia meminta masyarakat lebih bijak menerima informasi di media sosial.Informasi “Jokowi Meninggal Dunia” merupakan konten yang menyesatkan (misleading content).Beredar sebuah informasi dalam bentukvideo yang diunggah oleh akun X “@kopipahitgulo” pada, Sabtu (12/07/2025) menyebutkan bahwa Joko Widodo, mantan Presiden Republik Indonesia ke-7. Dalam video itu disebutkan bahwa laporan tersebut didapat dari seorang bernama Christovita Wiloto Chairman. Meninggalnya Joko Widodo disebut belum dinyatakan secara resmi oleh negara. Dengan transkip video sebagai berikut:Jokowi Diduga Sudah Meninggal, Laporan Strategis Khusus, oleh Christofita Wiloto, Chairman Strategik Indonesia, Laporan Intelijen, Laporan dari Intelijen Kawakan kami mengabarkan bahwa sejak awal minggu ini Jokowi Dodo alias Jokowi Diduga telah meninggal dunia.Kabar ini belum dinyatakan secara resmi oleh negara, tetapi telah menjadi sorotan dalam jaringan intelijen dalam dan luar negeri.(transkip selengkapnya pada refrenensi).Pemeriksaan FaktaTim Pemeriksa Fakta Mafindo (TurnBackHoax) coba melakukan pencarian informasi melalui“Google”terkait kabar meninggalnya Jokowi. Hasilnya, tidak ditemukan informasi kredibel atas kabar tersebut.Diketahui, Jokowi mengalami alergi kulit seusai melakukan lawatan ke Vatikan beberapa bulan lalu. Alergi tersebut menyebabkan peradangan di area wajah yang hingga kini belum sepenuhnya sembuh.Sebelumnya pada bulan Juni 2025 Jokowi sempat diisukan bahwa kondisinya kritis di rumah sakit. Dilansir daridetik.com, Kompol Syarif Fitriansyah saat dikonfirmasi menegaskan kabar tersebut tidak benar. Ia meminta masyarakat lebih bijak menerima informasi di media sosial.KesimpulanInformasi “Jokowi Meninggal Dunia” merupakan konten yang menyesatkan (misleading content).(Ditulis oleh Arief Putra Ramadhan)12",FAKE,https://turnbackhoax.id/2025/07/18/salah-jokowi-meninggal-dunia/,TurnBackHoax.id,News,1887,28,2025-07-19 08:13:17
