judul,label,sumber,kategori,title_length
"Andai Hewan Peliharan Bisa Jadi Manusia, Ini Harapan Pemilik Anabul",REAL,Kompas.com,News,67
Mengenal myBCA Keyboard: Cek Saldo hingga Transfer Tanpa Buka Aplikasi,REAL,Kompas.com,News,70
SALAH Iran Pamerkan Rudal Terbesar di Dunia,FAKE,TurnBackHoax.id,News,43
PENIPUAN Tautan Pendaftaran Lowongan Kerja Superindo,FAKE,TurnBackHoax.id,News,52
"Identitas 4 Korban Tewas Kebakaran di Tebet, Semua di Bawah Umur",REAL,Kompas.com,News,64
Cerita Jeffrie PSI Minta Ada Darah Jokowi agar Partainya Tidak Mati,REAL,Kompas.com,News,67
SALAH Megawati Menjerit karena Skandal Korupsi Indosat dan Jual Pulau Diusut KPK,FAKE,TurnBackHoax.id,News,80
SALAH Jepang Membentuk Pusat Komando Imbas Ulah WNI,FAKE,TurnBackHoax.id,News,51
SALAH Video Serangan Iran ke Gedung Parlemen Israel,FAKE,TurnBackHoax.id,News,51
Kongres PSI 2025: Jeffrie Geovanie Bahas Cebong dan Kampret,REAL,Kompas.com,News,59
Pria Jepang Jual Ferrari dan Tutup Perusahaan Demi Selamatkan Anjing,REAL,Kompas.com,News,68
SALAH Video Monster Drone Buatan Iran,FAKE,TurnBackHoax.id,News,37
"ASN DKI Wajib Olahraga Tiap Jumat, Rano Karno: Ingub Sudah Ada, Mau Saya Galakkan Lagi",REAL,Kompas.com,News,86
SALAH Tangkapan Layar Artikel MUI Mendukung Serangan Israel ke Iran,FAKE,TurnBackHoax.id,News,67
"Hasil Kamera Samsung Galaxy Z Flip 7: Detail, Cerah, dan Cocok untuk Pengguna Kasual",REAL,Kompas.com,News,84
SBY Jalani Perawatan di RSPAD Gatot Soebroto,REAL,CNN Indonesia,Nasional,44
PKB rayakan HUT ke-27 dengan gelar Kalokarya,REAL,Antara News,News,44
SALAH Video Pengakuan Kekalahan Israel,FAKE,TurnBackHoax.id,News,38
SALAH Wali Kota Boston Keturunan Indonesia,FAKE,TurnBackHoax.id,News,42
"Menjajal Kamera 200 MP Samsung Galaxy Z Fold 7, Detail Maksimal dan Tajam",REAL,Kompas.com,News,73
"Enggan Langsung Tinjau Kebakaran di Tebet, Rano Karno: Kalau Saya Datang Malah Bikin Kisruh",REAL,Kompas.com,News,91
"SALAH Kiriman Rudal dari Iran ke Tel Aviv, Israel",FAKE,TurnBackHoax.id,News,49
"Trump umumkan kesepakatan tarif, Prabowo buktikan kelasnya",REAL,Antara News,News,58
"SALAH Juni 2025, Pangeran Arab Al Waleed Bangun dari Koma",FAKE,TurnBackHoax.id,News,57
SALAH Artikel CNBC Indonesia: Raja Salman Sebut: Negara Termunafik Nomor Satu Indonesia,FAKE,TurnBackHoax.id,News,87
SALAH Warga Papua Rayakan Kedatangan Imigran Israel,FAKE,TurnBackHoax.id,News,51
Orangtua Korban Kebakaran di Tebet Sempat Minta Tolong Petugas Selamatkan Anaknya yang Terjebak,REAL,Kompas.com,News,95
Kenapa Sebaiknya Memaafkan Orangtua Sebelum Jadi Orangtua?,REAL,Kompas.com,News,58
SALAH Shin Tae-yong Kembali ke PSSI,FAKE,TurnBackHoax.id,News,35
SALAH Rudal Indonesia Siap Dikirim ke Iran,FAKE,TurnBackHoax.id,News,42
SALAH Video Warga Israel Mengungsi di Gurun Pasir,FAKE,TurnBackHoax.id,News,49
Polisi bongkar peredaran sabu dalam kemasanbekas minuman di Serang,REAL,Antara News,News,66
"Gempa M 5,3 Guncang Banggai Kepulauan, Terasa hingga Gorontalo, Tak Berpotensi Tsunami",REAL,Kompas.com,News,86
SALAH Video Fasilitas Rahasia Fordow Iran,FAKE,TurnBackHoax.id,News,41
Dedi Mulyadi Tegaskan Peristiwa Maut di Garut di Luar Rencana Awal Syukuran Pernikahan Anaknya,REAL,Kompas.com,News,94
SALAH Ada Insiden Kebocoran Nuklir di Cinere,FAKE,TurnBackHoax.id,News,44
SALAH Kapal Tanker Terbakar karena Iran Melarang Selat Hormuz untuk Dilewati,FAKE,TurnBackHoax.id,News,76
SALAH FIFA Putuskan Jepang Jadi Tuan Rumah Piala Dunia 2026 Gantikan Qatar dan Arab,FAKE,TurnBackHoax.id,News,83
Film Believe munculkan aksi laga Kapten Agus yang mendebarkan,REAL,Antara News,News,61
SALAH Syarat Beli Rumah Subsidi: Punya Gaji Rp14 Juta,FAKE,TurnBackHoax.id,News,53
"SALAH FIFA Blacklist Iran dan Tunjuk Indonesia ke Piala Dunia, PSSI menolak",FAKE,TurnBackHoax.id,News,75
SALAH Detik-Detik Langit Israel Memerah,FAKE,TurnBackHoax.id,News,39
"2 Promo Liburan ke Jepang, Tiket Pesawat Murah dan Cashback sampai Rp 26,4 Juta",REAL,Kompas.com,News,79
SALAH Indonesia Menyatakan Perang Lawan Myanmar,FAKE,TurnBackHoax.id,News,47
