judul,label,sumber,kategori,title_length
SALAH Video Pengakuan Kekalahan Israel,FAKE,TurnBackHoax.id,News,38
SALAH Video Warga Israel Mengungsi di Gurun Pasir,FAKE,TurnBackHoax.id,News,49
SALAH Artikel CNBC Indonesia: Raja Salman Sebut: Negara Termunafik Nomor Satu Indonesia,FAKE,TurnBackHoax.id,News,87
PENIPUAN Tautan Pendaftaran CPNS Kemenhub,FAKE,TurnBackHoax.id,News,41
SALAH Video Monster Drone Buatan Iran,FAKE,TurnBackHoax.id,News,37
PENIPUAN Tautan Pendaftaran Penghapusan Tunggakan BPJS kesehatan,FAKE,TurnBackHoax.id,News,64
SALAH Jepang Membentuk Pusat Komando Imbas Ulah WNI,FAKE,TurnBackHoax.id,News,51
PENIPUAN Buya Yahya Bagi-Bagi Uang,FAKE,TurnBackHoax.id,News,34
SALAH Wanita Asal Padang Jadi Presiden Singapura,FAKE,TurnBackHoax.id,News,48
SALAH Prabowo Menyatakan SIM Berlaku Seumur Hidup,FAKE,TurnBackHoax.id,News,49
SALAH Obama Tolak Amerika Ikut Campur Perang Iran,FAKE,TurnBackHoax.id,News,49
SALAH Narasi Putin Bakal Bantu Indonesia Jika Diserang Amerika-Israel,FAKE,TurnBackHoax.id,News,69
SALAH Jokowi Meninggal Dunia,FAKE,TurnBackHoax.id,News,28
SALAH Putin Kirim Ribuan Pasukan sebagai Fasilitas Pertahanan di Papua,FAKE,TurnBackHoax.id,News,70
SALAH Ada Insiden Kebocoran Nuklir di Cinere,FAKE,TurnBackHoax.id,News,44
SALAH Junta Myanmar Ingin Memerangi Indonesia,FAKE,TurnBackHoax.id,News,45
SALAH Ono Surono Didemo karena Mau Memecah Jawa Barat Menjadi Lima Provinsi,FAKE,TurnBackHoax.id,News,75
PENIPUAN Pendaftaran Loker Mayora Group Lewat Google Docs,FAKE,TurnBackHoax.id,News,57
PENIPUAN Program Bantuan Puluhan Juta Rupiah dari Dedi Mulyadi,FAKE,TurnBackHoax.id,News,62
PENIPUAN Video Prabowo Resmikan Pinjol Tanpa Bunga,FAKE,TurnBackHoax.id,News,50
PENIPUAN Tautan Pendaftaran Bantuan Subsidi Upah,FAKE,TurnBackHoax.id,News,48
SALAH Jepang Blacklist Pekerja Indonesia,FAKE,TurnBackHoax.id,News,40
SALAH Iran Pamerkan Rudal Terbesar di Dunia,FAKE,TurnBackHoax.id,News,43
PENIPUAN Maia Estianty Berbagi Uang,FAKE,TurnBackHoax.id,News,35
SALAH Artis Randy Pangalila Meninggal Dunia pada 11 Juli 2025,FAKE,TurnBackHoax.id,News,61
SALAH Klaim Video Peluncuran Rudal Hipersonik,FAKE,TurnBackHoax.id,News,45
SALAH Mantan PM Malaysia Dr Mahathir Mohamad Meninggal pada 14 Juli 2025,FAKE,TurnBackHoax.id,News,72
SALAH Video Hukuman Bagi Koruptor di Korea Utara,FAKE,TurnBackHoax.id,News,48
SALAH Potret Penemuan Baju dan Peralatan Tentara,FAKE,TurnBackHoax.id,News,48
SALAH FIFA Beri Sanksi ke Malaysia karena Melanggar Aturan Naturalisasi,FAKE,TurnBackHoax.id,News,71
"SALAH Rusia Bantu Iran, Nyatakan Perang terhadap Israel dan AS",FAKE,TurnBackHoax.id,News,62
SALAH Video Kendaraan Tempur Indonesia untuk Persiapan Perang Dunia III,FAKE,TurnBackHoax.id,News,71
PENIPUAN Tautan Pendaftaran Lowongan Kerja Superindo,FAKE,TurnBackHoax.id,News,52
SALAH Video Petinggi Israel Adu Mulut Usai Iran Serang Balik Israel,FAKE,TurnBackHoax.id,News,67
PENIPUAN Tautan Pendaftaran Lowongan Kerja Bappenas,FAKE,TurnBackHoax.id,News,51
SALAH Konten Kreator FB Pro Mengalami Kecelakaan karena Keasikan Siaran Langsung,FAKE,TurnBackHoax.id,News,80
SALAH Video Obama Umumkan Diri sebagai Capres AS 2028,FAKE,TurnBackHoax.id,News,53
SALAH Video Iran Luncurkan Rudal Fattah ke Israel,FAKE,TurnBackHoax.id,News,49
SALAH Fenomena Aphelion Penyebab Cuaca Dingin di Indonesia,FAKE,TurnBackHoax.id,News,58
SALAH Video Fasilitas Rahasia Fordow Iran,FAKE,TurnBackHoax.id,News,41
SALAH Jokowi Kritis Masuk Rumah Sakit,FAKE,TurnBackHoax.id,News,37
PENIPUAN Tautan Pendaftaran Lowongan Kerja Pelita Air,FAKE,TurnBackHoax.id,News,53
PENIPUAN Pendaftaran Bantuan Indonesia Peduli Bersama untuk Pekerja Migran,FAKE,TurnBackHoax.id,News,74
SALAH Video Ucapan Terima Kasih Tentara Israel untuk Papua,FAKE,TurnBackHoax.id,News,58
SALAH Potret Prabowo dan Perwakilan Belanda Bahas Kemerdekaan Papua-Aceh,FAKE,TurnBackHoax.id,News,72
SALAH Prabowo Utus Gibran ke Pedalaman Papua untuk Tugas Perdamaian,FAKE,TurnBackHoax.id,News,67
SALAH Detik-Detik Langit Israel Memerah,FAKE,TurnBackHoax.id,News,39
SALAH Pesawat Tempur Israel Jatuh di Tanjung Balai,FAKE,TurnBackHoax.id,News,50
SALAH Video Buaya Masuk Rumah saat Banjir di Jakarta Selatan,FAKE,TurnBackHoax.id,News,60
SALAH Video Pesan Militer Iran untuk Rakyat Indonesia,FAKE,TurnBackHoax.id,News,53
SALAH Lombok Jadi Target Utama Israel,FAKE,TurnBackHoax.id,News,37
SALAH Indonesia Menyatakan Perang Lawan Myanmar,FAKE,TurnBackHoax.id,News,47
PENIPUAN Tautan Cek Status Penerima Bantuan Subsidi Upah Tanpa NIK,FAKE,TurnBackHoax.id,News,66
SALAH Video Rusia Serang AS karena AS Meledakkan Fasilitas Nuklir Iran,FAKE,TurnBackHoax.id,News,70
SALAH Bambu Petuk di Cianjur Mengeluarkan Air Tanpa Selang atau Pipa,FAKE,TurnBackHoax.id,News,68
PENIPUAN Tautan Pendaftaran Bantuan Program Indonesia Pintar (PIP),FAKE,TurnBackHoax.id,News,66
SALAH Prabowo Resmi Izinkan Rusia Bangun Pangkalan Militer di Indonesia,FAKE,TurnBackHoax.id,News,71
"SALAH Tubuh Mantan Presiden Israel, Ariel Sharoon Membusuk",FAKE,TurnBackHoax.id,News,58
SALAH Ratusan Kapal Perang Cina Tiba di Timur Tengah,FAKE,TurnBackHoax.id,News,52
SALAH PM Israel Sebut Perang Israel dan Iran Hanya Sandiwara,FAKE,TurnBackHoax.id,News,60
"SALAH Kiriman Rudal dari Iran ke Tel Aviv, Israel",FAKE,TurnBackHoax.id,News,49
SALAH Warga Papua Rayakan Kedatangan Imigran Israel,FAKE,TurnBackHoax.id,News,51
SALAH Dokumentasi Kemarahan Obama karena Trump Ikut Campur Perang Iran vs Israel,FAKE,TurnBackHoax.id,News,80
PENIPUAN Bantuan Modal Usaha dari Qatar Charity Indonesia,FAKE,TurnBackHoax.id,News,57
PENIPUAN Video Dedi Mulyadi Mempromosikan Pinjol,FAKE,TurnBackHoax.id,News,48
