judul,label
Menggaungkan Suara Lebih Lantang dari Negara-negara di Selatan Dunia,1
"Wamenlu: Kalau MK Katakan Tak Boleh Rangkap Jabatan, Ya Bagaimana Lagi?",1
SALAH Video Warga Israel Mengungsi,0
SALAH Video Kendaraan Tempur Indonesia untuk Persiapan Perang Dunia III,0
SALAH Shin Tae-yong Kembali ke PSSI,0
"Trump umumkan kesepakatan tarif, Prabowo buktikan kelasnya",1
"2 Promo Liburan ke Jepang, Tiket Pesawat Murah dan Cashback sampai Rp 26,4 Juta",1
Vale (INCO) jadwalkan ulang RUPSLB penunjukan presdir baru,1
8 Zodiak yang Gampang Salah Tingkah Saat Dekat Orang yang Disukai,1
Gunung Ile Lewotolok Meletus 99 Kali Disertai Dentuman Kuat dalam 12 Jam,1
SALAH Obama Tolak Amerika Ikut Campur Perang Iran,0
"Suplemen Herbal Tak Selalu Aman, Dokter Temukan Kasus Kerusakan Hati Akibat Kunyit",1
SALAH Video Petinggi Israel Adu Mulut Usai Iran Serang Balik Israel,0
Tanda Kondensor AC Mobil Sudah Minta Diganti,1
"Andai Hewan Peliharan Bisa Jadi Manusia, Ini Harapan Pemilik Anabul",1
PENIPUAN Tautan Pendaftaran Lowongan Kerja Pelita Air,0
"Aturan Stablecoin Disahkan, Pemerintah AS mulai Atur Kripto Rasa Dollar",1
SALAH Kebakaran di Tel Aviv karena Bombardir Iran ke Israel,0
Dedi Mulyadi Tegaskan Peristiwa Maut di Garut di Luar Rencana Awal Syukuran Pernikahan Anaknya,1
"SALAH Rusia Bantu Iran, Nyatakan Perang terhadap Israel dan AS",0
Mengenal myBCA Keyboard: Cek Saldo hingga Transfer Tanpa Buka Aplikasi,1
SALAH Kades di Garut Beli Jet Pribadi Pakai Dana Desa,0
SALAH Video Hukuman Bagi Koruptor di Korea Utara,0
SALAH Iran Pamerkan Rudal Terbesar di Dunia,0
"Israel dan Suriah Akhirnya Gencatan Senjata, AS Jadi Mediator",1
TNI bangun kerja sama militer di tengah momentum Bastille Day,1
SBY Jalani Perawatan di RSPAD Gatot Soebroto,1
"Konversi Toyota Starlet EP81 ke EP82, Gaya Jepang yang Penuh Detail",1
Korban empat tewas kebakaran Tebet adalah anak-anak,1
"Jeffrie Geovanie: Siapa Pun yang Menang, Harus Tetap Bersama Membangun PSI",1
SALAH Tangkapan Layar Post Gelora.co dengan Foto Jokowi Terkena Penyakit Kusta,0
SALAH Video Ucapan Terima Kasih Tentara Israel untuk Papua,0
"Dikenai Pajak Hiburan 10 Persen, Lapangan Padel Masih Diburu",1
"Dari Status Medsos Butuh Kerja , Puspa Dijual Sindikat TPPO Kamboja",1
PENIPUAN Pendaftaran Bantuan Indonesia Peduli Bersama untuk Pekerja Migran,0
Kebakaran Rumah di Tebet yang Tewaskan 4 Bocah Diduga akibat Korsleting,1
"Penataan Car Free Day Solo: PKL Dilarang Berjualan, Pengunjung Tak Boleh Merokok",1
SALAH Indonesia Jadi Tuan Rumah Ronde 4 Kualifikasi Piala Dunia 2026 Zona Asia,0
PENIPUAN Tautan Pendaftaran CPNS Kemenhub,0
SALAH Artikel CNBC Indonesia: Raja Salman Sebut: Negara Termunafik Nomor Satu Indonesia,0
"Gibran sampaikan terima kasih ke orang tua, percayakan anak sekolah SR",1
Fakta-fakta 3 Tewas di Pernikahan Anak Dedi Mulyadi,1
Gus Miftah Beri Hadiah Umrah Guru Madin yang Dituntut Bayar Rp 25 Juta Usai Tampar Siswa,1
Polisi bongkar peredaran sabu dalam kemasanbekas minuman di Serang,1
SALAH Kapal Tanker Terbakar karena Iran Melarang Selat Hormuz untuk Dilewati,0
VIDEO: Terpesona Alta Moda dan Alta Sartoria dari Dolce Gabbana,1
SALAH Lombok Jadi Target Utama Israel,0
"Dirawat di RSPAD, SBY Dikabarkan Sakit Ringan dan Tinggal Pemulihan",1
SALAH Prabowo Utus Gibran ke Pedalaman Papua untuk Tugas Perdamaian,0
SALAH Video Buaya Masuk Rumah saat Banjir di Jakarta Selatan,0
SALAH Jepang Blacklist Pekerja Indonesia,0
PENIPUAN Video Dedi Mulyadi Mempromosikan Pinjol,0
Kim Jong Un Cegah Wisatawan Asing Masuk Resor Pantai Usai Diresmikan,1
SALAH Video Obama Umumkan Diri sebagai Capres AS 2028,0
SALAH Tangkapan Layar Artikel MUI Mendukung Serangan Israel ke Iran,0
"SALAH Kiriman Rudal dari Iran ke Tel Aviv, Israel",0
Cerita Jeffrie PSI Minta Ada Darah Jokowi agar Partainya Tidak Mati,1
"4 Bocah Tewas dalam Kebakaran di Tebet, 2 Kakak-Adik",1
SALAH Jepang Membentuk Pusat Komando Imbas Ulah WNI,0
SALAH FIFA Putuskan Jepang Jadi Tuan Rumah Piala Dunia 2026 Gantikan Qatar dan Arab,0
PENIPUAN Tautan Pendaftaran Lowongan Kerja Bappenas,0
Trump Gugat Wall Street Journal dan Murdoch Buntut Berita Epstein,1
SALAH Prabowo Perbolehkan Aceh Kibarkan Bendera Bulan Bintang,0
SALAH Jokowi Meninggal Dunia,0
SALAH Video Iran Luncurkan Rudal Fattah ke Israel,0
SALAH Putin Kirim Ribuan Pasukan sebagai Fasilitas Pertahanan di Papua,0
SALAH Kabut di Jabodetabek Adalah Rekayasa agar Kasus TBC Meningkat,0
SALAH Potret Prabowo dan Perwakilan Belanda Bahas Kemerdekaan Papua-Aceh,0
SALAH Detik-Detik Langit Israel Memerah,0
PENIPUAN Program Bantuan Puluhan Juta Rupiah dari Dedi Mulyadi,0
"Menjajal Kamera 200 MP Samsung Galaxy Z Fold 7, Detail Maksimal dan Tajam",1
SALAH Pesawat Bantuan China Untuk Gaza Lewat Wilayah Israel,0
Komunikasi Publik Dedi Mulyadi di Balik Musibah: Tak Tahu Ada Makan Gratis?,1
"Kasus Covid-19 Naik di AS, Varian Nimbus Jadi Pemicu Lonjakan Terbaru",1
SALAH Dokumentasi Kemarahan Obama karena Trump Ikut Campur Perang Iran vs Israel,0
PENIPUAN Tautan Pendaftaran Bantuan Program Indonesia Pintar (PIP),0
4 Bocah Tewas dalam Kebakaran Rumah di Tebet Diduga Terjebak di Lantai 2,1
Orangtua Korban Kebakaran di Tebet Sempat Minta Tolong Petugas Selamatkan Anaknya yang Terjebak,1
Jeffrie Geovanie Bilang PSI Bakal Mati Tanpa Keluarga Jokowi,1
PENIPUAN Buya Yahya Bagi-Bagi Uang,0
PENIPUAN Tautan Pendaftaran Bantuan Subsidi Upah,0
"Gaya F4 Saat Reuni Dadakan, Kompak Pakai Outfit Serba Gelap",1
SALAH Video Monster Drone Buatan Iran,0
"Pakai Kalung Rantai Besi, Pria 61 Tahun Tewas Terisap Mesin MRI",1
SALAH Potret Penemuan Baju dan Peralatan Tentara,0
Dokter nilai teknologi bedah robotik Da Vinci Xi bukan sekedar alat,1
SALAH Warga Papua Rayakan Kedatangan Imigran Israel,0
PENIPUAN Tautan Lowongan Kerja PP Presisi,0
"Identitas 4 Korban Tewas Kebakaran di Tebet, Semua di Bawah Umur",1
VIDEO: Pernyataan Hamas Soal Gencatan Senjata Sementara di Gaza,1
Kenapa Sebaiknya Memaafkan Orangtua Sebelum Jadi Orangtua?,1
SALAH Mulai 2026 Tanah Tanpa Sertifikat Akan Diambil Alih Negara,0
SALAH Video Uji Coba Nuklir Iran Sebabkan Ledakan di Gurun dan Laut,0
SALAH FIFA Beri Sanksi ke Malaysia karena Melanggar Aturan Naturalisasi,0
Trump Klaim 10 Sandera Segera Dibebaskan dari Gaza,1
PENIPUAN Bantuan Modal Usaha dari Qatar Charity Indonesia,0
SALAH Wali Kota Boston Keturunan Indonesia,0
Bagus Susanto Ditunjuk Jadi Bos GWM Indonesia,1
SALAH Amerika Kirim Pesawat Pembom ke Israel,0
"Pemain Padel Catat, Ini Cara Menyembuhkan Elbow Epicondylitis",1
"Suwayda masih bergejolak, bentrokan Druze dan Badui belum mereda",1
Suara Gajah Terdengar di Arena Kongres PSI 2025,1
SALAH Jokowi Kritis Masuk Rumah Sakit,0
"Sony RX1R III Meluncur setelah 10 Tahun, Kamera Compact Full-Frame 61 MP",1
Film Believe munculkan aksi laga Kapten Agus yang mendebarkan,1
"SALAH Juni 2025, Pangeran Arab Al Waleed Bangun dari Koma",0
PENIPUAN Pendaftaran Loker Mayora Group Lewat Google Docs,0
SALAH Artis Randy Pangalila Meninggal Dunia pada 11 Juli 2025,0
"Investasi Apple Rp 2,6 Triliun di RI Bisa Batal, Imbas Trump Pangkas Tarif Jadi 19 Persen, Kok Bisa?",1
SALAH Video Serangan AS terhadap Situs Nuklir Iran di Fordow,0
SALAH Narasi Putin Bakal Bantu Indonesia Jika Diserang Amerika-Israel,0
PENIPUAN Maia Estianty Berbagi Uang,0
SALAH Pengeboman Israel di Sekitar Persembunyian Pemimpin Tertinggi Iran Ayatollah Ali Khamenei,0
FKDT: Indonesia harus berterima kasih pada ustaz Madrasah Diniyah,1
SALAH Junta Myanmar Ingin Memerangi Indonesia,0
Bank Mandiri Komitmen Perkuat Ekonomi Desa Lewat Koperasi Merah Putih,1
Mengenal Kemenyan yang Disebut Gibran Saat Menyentil Pengguna Parfum LV dan Gucci,1
SALAH Video Serangan Iran ke Gedung Parlemen Israel,0
SALAH Video Rusia Serang AS karena AS Meledakkan Fasilitas Nuklir Iran,0
"Anies Baswedan Disebut-sebut di Kongres PSI 2025, Solo",1
SALAH Video Pengakuan Kekalahan Israel,0
"Ratusan UMKM Go Digital, Ini Perjalanan Kiki Abdul Rachman Merintis Dimaloka",1
"SALAH Tubuh Mantan Presiden Israel, Ariel Sharoon Membusuk",0
SALAH Wanita Asal Padang Jadi Presiden Singapura,0
SALAH Pesawat Tempur Israel Jatuh di Tanjung Balai,0
"Punya Citra Futuristik, Kenapa Jepang Tertinggal dalam Digitalisasi?",1
SALAH Prabowo Resmi Izinkan Rusia Bangun Pangkalan Militer di Indonesia,0
"Vale Batal Tunjuk Presdir Baru di RUPSLB, Ini Alasannya",1
SALAH Ono Surono Didemo karena Mau Memecah Jawa Barat Menjadi Lima Provinsi,0
Perlu upaya serius kurangi ketergantungan impor pertanian,1
PKB rayakan HUT ke-27 dengan gelar Kalokarya,1
Mengenal Early Redemption SBR014: Bisa Cairkan Investasi Sebelum Jatuh Tempo,1
SALAH Video Fasilitas Rahasia Fordow Iran,0
Transjakarta Rute Blok M- Ancol Ditargetkan Launching Agustus 2025,1
SALAH Ada Insiden Kebocoran Nuklir di Cinere,0
Menkomdigi Bantah Wacana Pembatasan WhatsApp Call dan Video Call,1
"Peras Biksu Pakai Video Seks, Perempuan Thailand Ditangkap Polisi",1
SALAH Video Pesan Militer Iran untuk Rakyat Indonesia,0
PSI: Jokowi Bagian dari Kita Hari Ini,1
SALAH Mantan PM Malaysia Dr Mahathir Mohamad Meninggal pada 14 Juli 2025,0
Pria Jepang Jual Ferrari dan Tutup Perusahaan Demi Selamatkan Anjing,1
"Gempa M 5,3 Guncang Banggai Kepulauan, Terasa hingga Gorontalo, Tak Berpotensi Tsunami",1
Jenazah 4 Bocah Korban Kebakaran di Tebet Dibawa ke RS Polri,1
Polisi Olah TKP Tewasnya 3 Orang di Pernikahan Anak Dedi Mulyadi,1
"RI Impor Minyak Mentah, Bensin, dan LPG dari AS, Kemenko: Kita Tidak Dipaksa Beli, Ada Hitungannya",1
SALAH Ratusan Kapal Perang Cina Tiba di Timur Tengah,0
SALAH Video Warga Israel Mengungsi di Gurun Pasir,0
SALAH Prabowo Menyatakan SIM Berlaku Seumur Hidup,0
"14 Juta Anak di Dunia Tak Pernah Divaksin, WHO Peringatkan Ancaman Wabah Global",1
Proses Penempatan 24 Dubes Tunggu Persetujuan Negara Tujuan,1
SALAH Bambu Petuk di Cianjur Mengeluarkan Air Tanpa Selang atau Pipa,0
SALAH Jerman Lancarkan Serangan ke Israel,0
BERITA FOTO Perjuangan Port FC Juara Piala Presiden 2025 Bekuk Oxford United,1
CEO Instagram Adam Mosseri Tak Lagi Pimpin Threads,1
Mentrans serahkan 400 SHM kepada 200 transmigran di Sumba Timur,1
Airlangga dorong pengembangan investasi Temasek Holdings di Indonesia,1
